STATE,PARLIAMENTARY CONSTITUENCY CODE (2013),PARLIAMENTARY CONSTITUENCY NAME (2013),STATE CONSTITUENCY CODE (2013),STATE CONSTITUENCY NAME (2013),POLLING DISTRICT CODE (2013),POLLING DISTRICT NAME (2013),TOTAL ELECTORS (2014),TOTAL ELECTORS (2013),NOTES,PARLIAMENTARY CONSTITUENCY CODE (2015),PARLIAMENTARY CONSTITUENCY NAME (2015),STATE CONSTITUENCY CODE (2015),STATE CONSTITUENCY NAME (2015),POLLING DISTRICT CODE (2015),POLLING DISTRICT NAME (2015),TOTAL ELECTORS (2014),DIFFERENCE OF ELECTORS (WITH 2013),SHIFTED STATE CONSTITUENCY,SHIFTED PARLIAMENTARY CONSTITUENCY,NOTES
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/01,SEBIRIS,,347,,P.192,MAS GADING,N.01,OPAR,192/01/01,SEBIRIS,348,1,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/02,JANGKAR,,425,,P.192,MAS GADING,N.01,OPAR,192/01/02,JANGKAR,642,217,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/03,SEBANDI,,286,,P.192,MAS GADING,N.01,OPAR,192/01/03,SEBANDI,287,1,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/04,TEMAGA,,483,,P.192,MAS GADING,N.01,OPAR,192/01/04,TEMAGA,486,3,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/05,STUNGKOR,,392,,P.192,MAS GADING,N.01,OPAR,192/01/05,STUNGKOR,397,5,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/06,OPAR,,912,,P.192,MAS GADING,N.01,OPAR,192/01/06,OPAR,920,8,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/07,SERAYAN,,582,,P.192,MAS GADING,N.01,OPAR,192/01/07,SERAYAN,605,23,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/08,RUKAM,,315,,P.192,MAS GADING,N.01,OPAR,192/01/08,RUKAM,402,87,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/09,SEMBAWANG,,438,,P.192,MAS GADING,N.01,OPAR,192/01/09,SEMBAWANG,450,12,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/10,KANDAIE,,259,,P.192,MAS GADING,N.01,OPAR,192/01/10,KANDAIE,261,2,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/11,PASIR TENGAH,,178,,P.192,MAS GADING,N.01,OPAR,192/01/11,PASIR TENGAH,183,5,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/12,SEDAING,,139,,P.192,MAS GADING,N.01,OPAR,192/01/12,SEDAING,72,-67,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/13,BIAWAK,,498,,P.192,MAS GADING,N.01,OPAR,192/01/13,BIAWAK,287,-211,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/14,SENIBONG,,421,,P.192,MAS GADING,N.01,OPAR,192/01/14,SENIBONG,431,10,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/15,SEBAKO,,446,,P.192,MAS GADING,N.01,OPAR,192/01/15,SEBAKO,457,11,NO SHIFT,NO SHIFT,
SARAWAK,P.192,MAS GADING,N.01,OPAR,192/01/16,RASO,,122,,P.192,MAS GADING,N.01,OPAR,192/01/16,RASO,121,-1,NO SHIFT,NO SHIFT,
