UNIQUE CODE (2026),STATE (2026),PARLIAMENTARY CONSTITUENCY CODE (2026),PARLIAMENTARY CONSTITUENCY NAME (2026),TOTAL ELECTORS (2026),PROPOSED PARLIAMENTARY CONSTITUENCY CODE (2026),PROPOSED PARLIAMENTARY CONSTITUENCY NAME (2026),TOTAL ELECTORS (2026),NAME CHANGE,NOTES
KOD UNIK (2026),NEGERI (2026),KOD PARLIMEN (2026),NAMA PARLIMEN (2026),JUMLAH PEMILIH (2026),CADANGAN KOD PARLIMEN (2026),CADANGAN NAMA PARLIMEN (2026),JUMLAH PEMILIH (2026),PERUBAHAN NAMA,NOTA
P.192,SARAWAK,P.192,MAS GADING,49391,P.192,MAS GADING,66796,,
P.193,SARAWAK,P.193,SANTUBONG,84691,P.193,SANTUBONG,79688,,
P.194,SARAWAK,P.194,PETRA JAYA,115727,P.194,PETRA JAYA,92763,,
P.195,SARAWAK,P.195,BANDAR KUCHING,109635,P.195,BANDAR KUCHING,116679,,
P.196,SARAWAK,P.196,STAMPIN,127836,P.196,STAMPIN,120792,,
P.197,SARAWAK,P.197,KOTA SAMARAHAN,89310,P.197,KOTA SAMARAHAN,97140,,
P.198,SARAWAK,P.198,PUNCAK BORNEO,83520,P.198,PUNCAK BORNEO,72665,,
P.199,SARAWAK,P.199,SERIAN,67971,P.199,SERIAN,62228,,
P.200,SARAWAK,P.200,BATANG SADONG,34048,P.200,BATANG SADONG,53378,,
P.201,SARAWAK,P.201,BATANG LUPAR,44916,P.201,BATANG LUPAR,46072,,
P.202,SARAWAK,P.202,SRI AMAN,52628,P.202,SRI AMAN,51472,,
P.203,SARAWAK,P.203,LUBOK ANTU,30593,P.203,LUBOK ANTU,28458,,
P.204,SARAWAK,P.204,BETONG,43471,P.204,BETONG,45606,,
P.205,SARAWAK,P.205,SARATOK,46462,P.205,SARATOK,46462,,
P.206,SARAWAK,P.206,TANJONG MANIS,34061,P.206,TANJONG MANIS,35117,,
P.207,SARAWAK,P.207,IGAN,29509,P.207,BATANG LASSA,36964,YES/ YA,
P.208,SARAWAK,P.208,SARIKEI,57575,P.208,SARIKEI,57292,,
P.209,SARAWAK,P.209,JULAU,36342,P.209,JULAU,36342,,
P.210,SARAWAK,P.210,KANOWIT,32165,P.210,KANOWIT,32165,,
P.211,SARAWAK,P.211,LANANG,91484,P.211,LANANG,87071,,
P.212,SARAWAK,P.212,SIBU,110857,P.212,SIBU,115270,,
P.213,SARAWAK,P.213,MUKAH,49036,P.213,MUKAH,40808,,
P.214,SARAWAK,P.214,SELANGAU,49266,P.214,SELANGAU,49266,,
P.215,SARAWAK,P.215,KAPIT,47312,P.215,KAPIT,50572,,
P.216,SARAWAK,P.216,HULU RAJANG,46123,P.216,HULU RAJANG,40063,,
P.217,SARAWAK,P.217,BINTULU,120962,P.217,BINTULU,127740,,
P.218,SARAWAK,P.218,SIBUTI,60736,P.218,SIBUTI,48450,,
P.219,SARAWAK,P.219,MIRI,150924,P.219,MIRI,158411,,
P.220,SARAWAK,P.220,BARAM,62025,P.220,BARAM,62846,,
P.221,SARAWAK,P.221,LIMBANG,43784,P.221,LIMBANG,43784,,
P.222,SARAWAK,P.222,LAWAS,35288,P.222,LAWAS,35288,,
