UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (2021 SARAWAK STATE ELECTIONS),TOTAL ELECTORS (2022 15TH GENERAL ELECTIONS),TOTAL ELECTORS (MAY 2025),URBAN - RURAL CLASSIFICATION (2021),URBAN - RURAL CLASSIFICATION (2022)
P.192_N.01,SARAWAK,P.192,MAS GADING,N.01,OPAR,11436,18525,19444,RURAL,RURAL
P.192_N.02,SARAWAK,P.192,MAS GADING,N.02,TASIK BIRU,18715,28646,29575,RURAL,RURAL
P.193_N.03,SARAWAK,P.193,SANTUBONG,N.03,TANJONG DATU,11384,16081,16608,RURAL,RURAL
P.193_N.04,SARAWAK,P.193,SANTUBONG,N.04,PANTAI DAMAI,20506,37841,40296,SEMI URBAN,SEMI URBAN
P.193_N.05,SARAWAK,P.193,SANTUBONG,N.05,DEMAK LAUT,14813,25618,26907,SEMI URBAN,URBAN
P.194_N.06,SARAWAK,P.194,PETRA JAYA,N.06,TUPONG,26004,51773,54801,URBAN,URBAN
P.194_N.07,SARAWAK,P.194,PETRA JAYA,N.07,SAMARIANG,21363,37898,39685,URBAN,URBAN
P.194_N.08,SARAWAK,P.194,PETRA JAYA,N.08,SATOK,14314,20138,20264,URBAN,URBAN
P.195_N.09,SARAWAK,P.195,BANDAR KUCHING,N.09,PADUNGAN,20949,25043,24414,URBAN,URBAN
P.195_N.10,SARAWAK,P.195,BANDAR KUCHING,N.10,PENDING,29747,38375,38193,URBAN,URBAN
P.195_N.11,SARAWAK,P.195,BANDAR KUCHING,N.11,BATU LINTANG,29694,46292,47000,URBAN,URBAN
P.196_N.12,SARAWAK,P.196,STAMPIN,N.12,KOTA SENTOSA,28392,45712,47544,URBAN,URBAN
P.196_N.13,SARAWAK,P.196,STAMPIN,N.13,BATU KITANG,20820,37250,39040,URBAN,URBAN
P.196_N.14,SARAWAK,P.196,STAMPIN,N.14,BATU KAWAH,20681,38047,40069,URBAN,URBAN
P.197_N.15,SARAWAK,P.197,KOTA SAMARAHAN,N.15,ASAJAYA,12349,18439,19121,RURAL,RURAL
P.197_N.16,SARAWAK,P.197,KOTA SAMARAHAN,N.16,MUARA TUANG,18644,31919,33764,RURAL,RURAL
P.197_N.17,SARAWAK,P.197,KOTA SAMARAHAN,N.17,STAKAN,16992,31871,34642,SEMI URBAN,SEMI URBAN
P.198_N.18,SARAWAK,P.198,PUNCAK BORNEO,N.18,SEREMBU,9834,15906,16470,RURAL,RURAL
P.198_N.19,SARAWAK,P.198,PUNCAK BORNEO,N.19,MAMBONG,19315,33577,34987,RURAL,RURAL
P.198_N.20,SARAWAK,P.198,PUNCAK BORNEO,N.20,TARAT,17717,30486,31369,RURAL,RURAL
P.199_N.21,SARAWAK,P.199,SERIAN,N.21,TEBEDU,12040,20539,21137,RURAL,RURAL
P.199_N.22,SARAWAK,P.199,SERIAN,N.22,KEDUP,11202,19128,19754,RURAL,RURAL
P.199_N.23,SARAWAK,P.199,SERIAN,N.23,BUKIT SEMUJA,14893,25606,26547,RURAL,RURAL
P.200_N.24,SARAWAK,P.200,BATANG SADONG,N.24,SADONG JAYA,7653,10432,10768,RURAL,RURAL
P.200_N.25,SARAWAK,P.200,BATANG SADONG,N.25,SIMUNJAN,8299,12141,12563,RURAL,RURAL
P.200_N.26,SARAWAK,P.200,BATANG SADONG,N.26,GEDONG,7208,10067,10380,RURAL,RURAL
P.201_N.27,SARAWAK,P.201,BATANG LUPAR,N.27,SEBUYAU,9367,13780,14166,RURAL,RURAL
P.201_N.28,SARAWAK,P.201,BATANG LUPAR,N.28,LINGGA,9578,13955,14313,RURAL,RURAL
P.201_N.29,SARAWAK,P.201,BATANG LUPAR,N.29,BETING MARO,11094,15337,15890,SEMI URBAN,SEMI URBAN
P.202_N.30,SARAWAK,P.202,SRI AMAN,N.30,BALAI RINGIN,10791,15892,16523,RURAL,RURAL
P.202_N.31,SARAWAK,P.202,SRI AMAN,N.31,BUKIT BEGUNAN,9632,13685,14181,RURAL,RURAL
P.202_N.32,SARAWAK,P.202,SRI AMAN,N.32,SIMANGGANG,13224,20587,21326,SEMI URBAN,SEMI URBAN
P.203_N.33,SARAWAK,P.203,LUBOK ANTU,N.33,ENGKILILI,11039,14725,15237,RURAL,RURAL
P.203_N.34,SARAWAK,P.203,LUBOK ANTU,N.34,BATANG AI,9929,14270,14795,RURAL,RURAL
P.204_N.35,SARAWAK,P.204,BETONG,N.35,SARIBAS,10984,16406,17056,RURAL,RURAL
P.204_N.36,SARAWAK,P.204,BETONG,N.36,LAYAR,9334,12615,12878,RURAL,RURAL
P.204_N.37,SARAWAK,P.204,BETONG,N.37,BUKIT SABAN,9523,12722,13141,RURAL,RURAL
P.205_N.38,SARAWAK,P.205,SARATOK,N.38,KALAKA,8052,11928,12343,SEMI URBAN,SEMI URBAN
P.205_N.39,SARAWAK,P.205,SARATOK,N.39,KRIAN,13074,18195,18788,RURAL,RURAL
P.205_N.40,SARAWAK,P.205,SARATOK,N.40,KABONG,10111,14408,14986,RURAL,RURAL
P.206_N.41,SARAWAK,P.206,TANJONG MANIS,N.41,KUALA RAJANG,11428,18223,18921,RURAL,RURAL
P.206_N.42,SARAWAK,P.206,TANJONG MANIS,N.42,SEMOP,10297,14725,14950,RURAL,RURAL
P.207_N.43,SARAWAK,P.207,IGAN,N.43,DARO,9195,14116,14617,RURAL,RURAL
P.207_N.44,SARAWAK,P.207,IGAN,N.44,JEMORENG,9963,14174,14515,RURAL,RURAL
P.208_N.45,SARAWAK,P.208,SARIKEI,N.45,REPOK,23541,31110,32264,SEMI URBAN,SEMI URBAN
P.208_N.46,SARAWAK,P.208,SARIKEI,N.46,MERADONG,18156,23908,24751,RURAL,RURAL
