UNIQUE CODE (2022),STATE (2022),STATE CONSTITUENCY CODE (2022),STATE CONSTITUENCY NAME (2022),PARLIAMENTARY CONSTITUENCY CODE (2022),PARLIAMENTARY CONSTITUENCY NAME (2022),TOTAL ELECTORS (2026),PROPOSED UNIQUE CODE (2026),PROPOSED STATE CONSTITUENCY CODE (2026),PROPOSED STATE CONSTITUENCY NAME (2026),PROPOSED PARLIAMENTARY CONSTITUENCY CODE (2026),PROPOSED PARLIAMENTARY CONSTITUENCY NAME (2026),TOTAL ELECTORS (2026),CHANGE IN PARENT PARLIAMENT,NEW SEAT,NAME CHANGE,NOTES
KOD UNIK (2022),NEGERI (2022),KOD DUN (2022),NAMA DUN (2022),KOD PARLIMEN (2022),NAMA PARLIMEN (2022),JUMLAH PEMILIH (2026),CADANGAN KOD UNIK (2026),CADANGAN KOD DUN (2026),CADANGAN NAMA DUN (2026),CADANGAN KOD PARLIMEN (2026),CADANGAN NAMA PARLIMEN (2026),JUMLAH PEMILIH (2026),PERUBAHAN KEPADA PENGAGIHAN PARLIMEN,DUN BARU,PERUBAHAN NAMA,NOTA
P.192_N.01,SARAWAK,N.01,OPAR,P.192,MAS GADING,19638,P.192_N.01,N.01,SERAYAN,P.192,MAS GADING,16878,,,YES/ YA,Opar renamed to Serayan./ Opar dinamakan semula kepada Serayan
P.192_N.02,SARAWAK,N.02,TASIK BIRU,P.192,MAS GADING,29753,P.192_N.03,N.03,SINGAI,P.192,MAS GADING,17017,,,YES/ YA,Tasik Biru renamed to Singai. / Tasik Biru dinamakan semula kepada Singai
,,,,,,,P.192_N.02,N.02,JAGOI,P.192,MAS GADING,17144,,YES/ YA,,
P.193_N.03,SARAWAK,N.03,TANJONG DATU,P.193,SANTUBONG,16737,P.193_N.05,N.05,TANJONG DATU,P.193,SANTUBONG,16737,,,,
,,,,,,,P.193_N.06,N.06,PASIR PANDAK,P.193,SANTUBONG,19321,,YES/ YA,,
P.193_N.04,SARAWAK,N.04,PANTAI DAMAI,P.193,SANTUBONG,40794,P.193_N.07,N.07,PANTAI DAMAI,P.193,SANTUBONG,21473,,,,
P.193_N.05,SARAWAK,N.05,DEMAK LAUT,P.193,SANTUBONG,27160,P.197_N.21,N.21,DEMAK LAUT,P.197,KOTA SAMARAHAN,27160,YES/ YA,,,Moved from Santubong to Kota Samarahan parliamentary constituency./ Dipindah dari Parlimen Santubong ke Kota Samarahan
P.194_N.06,SARAWAK,N.06,TUPONG,P.194,PETRA JAYA,55398,P.194_N.11,N.11,TUPONG,P.194,PETRA JAYA,23248,,,,
,,,,,,,P.194_N.09,N.09,MATANG,P.194,PETRA JAYA,23156,,YES/ YA,,
,,,,,,,P.194_N.10,N.10,SEMARAK,P.194,PETRA JAYA,26075,,YES/ YA,,
P.194_N.07,SARAWAK,N.07,SAMARIANG,P.194,PETRA JAYA,40045,P.193_N.08,N.08,SAMARIANG,P.193,SANTUBONG,22157,YES/ YA,,,Moved from Petra Jaya to Santubong parliamentary constituency./ Dipindah dari Parlimen Petra Jaya ke Santubong
P.194_N.08,SARAWAK,N.08,SATOK,P.194,PETRA JAYA,20284,P.194_N.12,N.12,SATOK,P.194,PETRA JAYA,20284,,,,
P.195_N.09,SARAWAK,N.09,PADUNGAN,P.195,BANDAR KUCHING,24287,P.195_N.13,N.13,PADUNGAN,P.195,BANDAR KUCHING,29459,,,,
P.195_N.10,SARAWAK,N.10,PENDING,P.195,BANDAR KUCHING,38167,P.195_N.14,N.14,PENDING,P.195,BANDAR KUCHING,28812,,,,
P.195_N.11,SARAWAK,N.11,BATU LINTANG,P.195,BANDAR KUCHING,47181,P.195_N.15,N.15,BATU LINTANG,P.195,BANDAR KUCHING,28797,,,,
,,,,,,,P.195_N.16,N.16,TABUAN JAYA,P.195,BANDAR KUCHING,29611,,YES/ YA,,
P.196_N.12,SARAWAK,N.12,KOTA SENTOSA,P.196,STAMPIN,47914,P.196_N.20,N.20,KOTA SENTOSA,P.196,STAMPIN,30235,,,,
P.196_N.13,SARAWAK,N.13,BATU KITANG,P.196,STAMPIN,39386,P.196_N.17,N.17,BATU KITANG,P.196,STAMPIN,29445,,,,
P.196_N.14,SARAWAK,N.14,BATU KAWAH,P.196,STAMPIN,40536,P.196_N.18,N.18,BATU KAWAH,P.196,STAMPIN,31315,,,,
,,,,,,,P.196_N.19,N.19,MAONG,P.196,STAMPIN,29797,,YES/ YA,,
